id,text,label,is_reply,retweet_count,user,screen_name,source,in_reply_to_screen_name
968,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,النسر الذهبي المسطح,SfmGoHRZoiYDdYK,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
1062,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,Sara,Precious_swera,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
1166,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,صريح جدا,9ree7_Jeddan,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
1206,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,khairyah makki,khairyah_makki,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
1247,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,wadhja,wadha_jaja,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
1286,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,أجنحه🕊️,Olmaaaazz,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
1311,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,smart M,M01899019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
1498,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,R,R01190232,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
1501,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,خالد بن الوليد,khalidalwaled11,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
1605,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,nsns,gnaaleen,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
1752,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,Open Your Eyes,openURey3s,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
1765,RT @dhom72: بما أننا مقبلون على فصل الشتاء وهو موسم الإنفلونزا أود أن أوضح للأحرار الفرق بين ما يُسمى بكوfـيد 19 والفلو الموسمي :  الفلو =…,Not,0,62,ضرغام,hardsad36,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
5,. - ٣١ ديسمبر ٢٠١٩ اكتشف فايروس كوفيد ١٩ - ١٩ مايو ٢٠٢١ أصبت بالفايرس - ١٣ اكتوبر ٢٠٢١ أخذت الجرعة الاولى ..,Not,0,0,هِيم .!,7heeem,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
6,RT @Ebtesam777: وجهوا كلمة لكل ممرض وممرضة يقفون في الخطوط الأمامية لمكافحة تفشي #فيروس_كورونا في #قطر وخارجها ؟! #كوفيد_19  #اليوم_العالمي…,Not,0,3129,يامنة_آل ثاني,pJ79eUprAAvVfP5,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
90,RT @Ebtesam777: وجهوا كلمة لكل ممرض وممرضة يقفون في الخطوط الأمامية لمكافحة تفشي #فيروس_كورونا في #قطر وخارجها ؟! #كوفيد_19  #اليوم_العالمي…,Not,0,3129,بندري_الخثعمي,auidFG7vPKO6Rtb,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
221,RT @Ebtesam777: وجهوا كلمة لكل ممرض وممرضة يقفون في الخطوط الأمامية لمكافحة تفشي #فيروس_كورونا في #قطر وخارجها ؟! #كوفيد_19  #اليوم_العالمي…,Not,0,3129,الزدجالي_لميسة,E40oChYtoAwDv7V,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
293,RT @Ebtesam777: وجهوا كلمة لكل ممرض وممرضة يقفون في الخطوط الأمامية لمكافحة تفشي #فيروس_كورونا في #قطر وخارجها ؟! #كوفيد_19  #اليوم_العالمي…,Not,0,3129,Rayhan Kattan,KattanRayhan,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
416,RT @Ebtesam777: وجهوا كلمة لكل ممرض وممرضة يقفون في الخطوط الأمامية لمكافحة تفشي #فيروس_كورونا في #قطر وخارجها ؟! #كوفيد_19  #اليوم_العالمي…,Not,0,3129,قوت المقراحي,nOjr1DBpX3Hrh62,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
571,RT @Ebtesam777: وجهوا كلمة لكل ممرض وممرضة يقفون في الخطوط الأمامية لمكافحة تفشي #فيروس_كورونا في #قطر وخارجها ؟! #كوفيد_19  #اليوم_العالمي…,Not,0,3129,ساحقي الخثعمي,Odn126jQbH9slhr,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
611,RT @Ebtesam777: وجهوا كلمة لكل ممرض وممرضة يقفون في الخطوط الأمامية لمكافحة تفشي #فيروس_كورونا في #قطر وخارجها ؟! #كوفيد_19  #اليوم_العالمي…,Not,0,3129,Haik_Safwat,HaikSafwat,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
630,RT @Ebtesam777: وجهوا كلمة لكل ممرض وممرضة يقفون في الخطوط الأمامية لمكافحة تفشي #فيروس_كورونا في #قطر وخارجها ؟! #كوفيد_19  #اليوم_العالمي…,Not,0,3129,Abdul-Wakil Baba,AbdulWakilBaba1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
641,RT @Ebtesam777: وجهوا كلمة لكل ممرض وممرضة يقفون في الخطوط الأمامية لمكافحة تفشي #فيروس_كورونا في #قطر وخارجها ؟! #كوفيد_19  #اليوم_العالمي…,Not,0,3129,الرويلي_نازك,U2fXzk8o2RT8Ta6,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
661,RT @Ebtesam777: وجهوا كلمة لكل ممرض وممرضة يقفون في الخطوط الأمامية لمكافحة تفشي #فيروس_كورونا في #قطر وخارجها ؟! #كوفيد_19  #اليوم_العالمي…,Not,0,3129,Bazzi_Nawar,NawarBazzi,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
687,RT @Ebtesam777: وجهوا كلمة لكل ممرض وممرضة يقفون في الخطوط الأمامية لمكافحة تفشي #فيروس_كورونا في #قطر وخارجها ؟! #كوفيد_19  #اليوم_العالمي…,Not,0,3129,شعاع النفعي,4IrAsXFdDjX8N7g,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
692,RT @Ebtesam777: وجهوا كلمة لكل ممرض وممرضة يقفون في الخطوط الأمامية لمكافحة تفشي #فيروس_كورونا في #قطر وخارجها ؟! #كوفيد_19  #اليوم_العالمي…,Not,0,3129,الراجحي عبيس,DsfSz1WMOb5Kh3S,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
737,RT @Ebtesam777: وجهوا كلمة لكل ممرض وممرضة يقفون في الخطوط الأمامية لمكافحة تفشي #فيروس_كورونا في #قطر وخارجها ؟! #كوفيد_19  #اليوم_العالمي…,Not,0,3129,ناشط الخلايلة,nEInSyGUW8deysS,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
868,RT @Ebtesam777: وجهوا كلمة لكل ممرض وممرضة يقفون في الخطوط الأمامية لمكافحة تفشي #فيروس_كورونا في #قطر وخارجها ؟! #كوفيد_19  #اليوم_العالمي…,Not,0,3129,Jal Hanania,HananiaJal,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
1079,RT @Ebtesam777: وجهوا كلمة لكل ممرض وممرضة يقفون في الخطوط الأمامية لمكافحة تفشي #فيروس_كورونا في #قطر وخارجها ؟! #كوفيد_19  #اليوم_العالمي…,Not,0,3129,Abdul-Badi Fakhoury,FakhouryBadi,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
1227,RT @Ebtesam777: وجهوا كلمة لكل ممرض وممرضة يقفون في الخطوط الأمامية لمكافحة تفشي #فيروس_كورونا في #قطر وخارجها ؟! #كوفيد_19  #اليوم_العالمي…,Not,0,3129,Rahal_Sharif,SharifRahal,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
1262,RT @Ebtesam777: وجهوا كلمة لكل ممرض وممرضة يقفون في الخطوط الأمامية لمكافحة تفشي #فيروس_كورونا في #قطر وخارجها ؟! #كوفيد_19  #اليوم_العالمي…,Not,0,3129,بن لغماري بنادر,pCUXlK1qncyvvyU,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
7,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,Unknown,Unknown99400052,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
103,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,amal,danya50278409,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
174,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,🌿 لولـياتي 🌿,lolyaaty,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
270,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,رغد.. 🌺,AmaliMjeed,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
435,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,əˈziːzə,tweet2az,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
455,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,غيمه ☁️,green_eyes1617,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
496,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,fsad saudi,fsadsaudi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
516,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,✪ Fay 🇰🇼 فيّ,The_Fay_,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
523,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,عبدالله الأنصاري,arnm2222,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
579,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,teacherhgf,teacherhgf,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
621,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,القحطاني,K8sgDs,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
628,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,هيفاء البلوشيه,Hsaifaayzm,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
639,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,ً,i_dont_care_23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
644,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,قطر الندى,NajamhA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
650,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,م. عائـشـة العـنزي,shosh_x95,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
663,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,W.E.J.D.A.N.🦋 #TheMedium,JeJe94wa,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
670,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,....,qlx6ih,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
680,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,الهلال بحر ( الزعيم ),samiali140,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
706,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,Nagi Atalla,nagisadek,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
709,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,ام حسن,O5wqc8ObjDltDlt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
793,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,najlafadel,najlafadel9,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
801,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,‎ محارب NoFap,MyrNofap,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
816,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,The pathfinder,Thepathfinder2,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
883,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,الحمد الله,WMu89roXnzSR5Nk,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
931,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,Alaneed,Alaneed_alsaeed,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
958,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,🅗🅐🅛🅘🅜🅐,Halom202614,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
1000,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,Abdulaziz Alkulaib,kawakibi1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
1042,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,SaffarF,saffar_f1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
1072,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,الحمدلله,Hanan_almarshad,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
1078,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,cupcake.da,86_dandona,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
1096,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,altaf,alyaseen55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
1132,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,يوسف,yousef_kuwait10,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
1201,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,Leo,SmashUltimateP3,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
1253,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,الشيخة 🇸🇦♥️,shajan707,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
1296,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,🇸🇦Engy,Engy59932714,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
1333,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,سمرقند,PINKWORD521,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
1353,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,Rabab Hameed,RababHameeed,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
1425,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,Kholoud 1990,Kholoud19903,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
1446,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,بورسلي,rborisly,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
1504,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,صمود,snabil_alamal,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
1552,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,HOT PAPRIKA,pi5po,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",
1558,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,ican'tbreathe 🇵🇸,some_katie,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
1564,RT @Poet04: لم يمر يوم ندمت فيه لعدم أخذ لقاح كوفيد … كم منكم يشعر بالشيء نفسة ❓,Not,0,55,Nada,Nada74702504,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
